name,prediction,conf
model_antiviral3_2412,0.9356763000000001,model_antiviral3_2412_complex.19
model_antiviral3_3395,0.9345796000000001,model_antiviral3_3395_complex.2
model_antiviral3_2227,0.9345314,model_antiviral3_2227_complex.10
model_antiviral3_903,0.9343933000000001,model_antiviral3_903_complex.12
model_antiviral3_407,0.93367994,model_antiviral3_407_complex.13
model_antiviral3_3568,0.9336693000000001,model_antiviral3_3568_complex.13
model_antiviral3_718,0.9335220999999999,model_antiviral3_718_complex.3
model_antiviral3_1344,0.93342185,model_antiviral3_1344_complex.16
model_antiviral3_1690,0.9332425999999999,model_antiviral3_1690_complex.15
model_antiviral3_3971,0.9330866,model_antiviral3_3971_complex.5
model_antiviral3_1921,0.9328235,model_antiviral3_1921_complex.3
model_antiviral3_2549,0.93277913,model_antiviral3_2549_complex.4
model_antiviral3_1781,0.9327076999999999,model_antiviral3_1781_complex.13
model_antiviral3_3461,0.9326095999999999,model_antiviral3_3461_complex.6
model_antiviral3_588,0.9325509,model_antiviral3_588_complex.7
model_antiviral3_4313,0.9324285,model_antiviral3_4313_complex.10
model_antiviral3_2183,0.93239516,model_antiviral3_2183_complex.3
model_antiviral3_2879,0.93232757,model_antiviral3_2879_complex.14
model_antiviral3_2483,0.9315302,model_antiviral3_2483_complex.7
model_antiviral3_1546,0.9315025,model_antiviral3_1546_complex.15
model_antiviral3_4350,0.93146294,model_antiviral3_4350_complex.15
model_antiviral3_3288,0.931426,model_antiviral3_3288_complex.15
model_antiviral3_2200,0.930969,model_antiviral3_2200_complex.17
model_antiviral3_992,0.9306898000000001,model_antiviral3_992_complex.4
model_antiviral3_74,0.93013966,model_antiviral3_74_complex.7
model_antiviral3_2889,0.9299088,model_antiviral3_2889_complex.17
model_antiviral3_807,0.9297714,model_antiviral3_807_complex.17
model_antiviral3_2775,0.9285479,model_antiviral3_2775_complex.7
model_antiviral3_4369,0.92823756,model_antiviral3_4369_complex.15
model_antiviral3_2787,0.92790663,model_antiviral3_2787_complex.5
model_antiviral3_3074,0.92789173,model_antiviral3_3074_complex.8
model_antiviral3_3330,0.9278434999999999,model_antiviral3_3330_complex.16
model_antiviral3_2065,0.92758095,model_antiviral3_2065_complex.19
model_antiviral3_201,0.9273287,model_antiviral3_201_complex.4
model_antiviral3_2111,0.92732185,model_antiviral3_2111_complex.11
model_antiviral3_2339,0.9265905000000001,model_antiviral3_2339_complex.12
model_antiviral3_1348,0.9259009,model_antiviral3_1348_complex.16
model_antiviral3_503,0.9257533000000001,model_antiviral3_503_complex.9
model_antiviral3_3111,0.9255502,model_antiviral3_3111_complex.15
model_antiviral3_2458,0.92515755,model_antiviral3_2458_complex.3
model_antiviral3_1018,0.9251396000000001,model_antiviral3_1018_complex.20
model_antiviral3_2470,0.92450416,model_antiviral3_2470_complex.12
model_antiviral3_1773,0.9242541,model_antiviral3_1773_complex.20
model_antiviral3_3396,0.92351294,model_antiviral3_3396_complex.17
model_antiviral3_1517,0.9234998,model_antiviral3_1517_complex.5
model_antiviral3_2963,0.92323333,model_antiviral3_2963_complex.17
model_antiviral3_658,0.9230363000000001,model_antiviral3_658_complex.7
model_antiviral3_4325,0.9228065000000001,model_antiviral3_4325_complex.16
model_antiviral3_4202,0.9223607,model_antiviral3_4202_complex.11
model_antiviral3_1808,0.9223127,model_antiviral3_1808_complex.1
model_antiviral3_1349,0.9221402,model_antiviral3_1349_complex.12
model_antiviral3_2818,0.92163414,model_antiviral3_2818_complex.10
model_antiviral3_4476,0.9212608,model_antiviral3_4476_complex.17
model_antiviral3_13,0.92116284,model_antiviral3_13_complex.15
model_antiviral3_794,0.92115724,model_antiviral3_794_complex.8
model_antiviral3_596,0.9206828000000001,model_antiviral3_596_complex.12
model_antiviral3_2574,0.9206492000000001,model_antiviral3_2574_complex.19
model_antiviral3_3198,0.9203129000000001,model_antiviral3_3198_complex.17
model_antiviral3_2991,0.92004675,model_antiviral3_2991_complex.13
model_antiviral3_2357,0.9195144000000001,model_antiviral3_2357_complex.10
model_antiviral3_2181,0.91948867,model_antiviral3_2181_complex.17
model_antiviral3_2345,0.9187774999999999,model_antiviral3_2345_complex.15
model_antiviral3_3377,0.9186589,model_antiviral3_3377_complex.11
model_antiviral3_2428,0.9185343,model_antiviral3_2428_complex.20
model_antiviral3_3124,0.9184174999999999,model_antiviral3_3124_complex.9
model_antiviral3_2965,0.9179438,model_antiviral3_2965_complex.17
model_antiviral3_2710,0.91792357,model_antiviral3_2710_complex.18
model_antiviral3_2809,0.91720855,model_antiviral3_2809_complex.4
model_antiviral3_146,0.9165904,model_antiviral3_146_complex.4
model_antiviral3_2635,0.91653425,model_antiviral3_2635_complex.12
model_antiviral3_3627,0.91652113,model_antiviral3_3627_complex.15
model_antiviral3_1274,0.9162435,model_antiviral3_1274_complex.13
model_antiviral3_1144,0.9162016,model_antiviral3_1144_complex.6
model_antiviral3_343,0.9161372999999999,model_antiviral3_343_complex.14
