name,prediction
model_antiviral3_3396_complex.17,0.92351294
model_antiviral3_1517_complex.5,0.9234998
model_antiviral3_2963_complex.17,0.92323333
model_antiviral3_658_complex.7,0.9230363
model_antiviral3_4325_complex.16,0.9228065
model_antiviral3_4202_complex.11,0.9223607
model_antiviral3_1808_complex.1,0.9223127
model_antiviral3_1349_complex.12,0.9221402
model_antiviral3_2818_complex.10,0.92163414
model_antiviral3_4476_complex.17,0.9212608
model_antiviral3_13_complex.15,0.92116284
model_antiviral3_794_complex.8,0.92115724
model_antiviral3_596_complex.12,0.9206828
model_antiviral3_2574_complex.19,0.9206492
model_antiviral3_2659_complex.10,0.9204541
model_antiviral3_3198_complex.17,0.9203129
model_antiviral3_2991_complex.13,0.92004675
model_antiviral3_2357_complex.10,0.9195144
model_antiviral3_2181_complex.17,0.91948867
model_antiviral3_2345_complex.15,0.9187775
model_antiviral3_3377_complex.11,0.9186589
model_antiviral3_2428_complex.20,0.9185343
model_antiviral3_3124_complex.9,0.9184175
model_antiviral3_2965_complex.17,0.9179438
model_antiviral3_2710_complex.18,0.91792357
model_antiviral3_3395_complex.10,0.91754013
model_antiviral3_2809_complex.4,0.91720855
model_antiviral3_146_complex.4,0.9165904
model_antiviral3_2635_complex.12,0.91653425
model_antiviral3_3627_complex.15,0.91652113
model_antiviral3_1274_complex.13,0.9162435
model_antiviral3_1144_complex.6,0.9162016
model_antiviral3_343_complex.14,0.9161373
model_antiviral3_1615_complex.20,0.9160564
model_antiviral3_3858_complex.3,0.9158545
model_antiviral3_2889_complex.20,0.91563797
model_antiviral3_2805_complex.9,0.91560715
model_antiviral3_361_complex.15,0.91548026
model_antiviral3_1226_complex.11,0.91547436
model_antiviral3_3524_complex.16,0.91540176
model_antiviral3_2334_complex.14,0.91474783
model_antiviral3_1587_complex.18,0.91473883
model_antiviral3_3585_complex.9,0.9146643
model_antiviral3_3839_complex.5,0.9145999
model_antiviral3_2222_complex.10,0.9145938
model_antiviral3_1082_complex.15,0.91419584
model_antiviral3_1601_complex.3,0.9141017
model_antiviral3_1655_complex.7,0.9140218
model_antiviral3_1085_complex.19,0.91389513
model_antiviral3_671_complex.1,0.9138397
model_antiviral3_1105_complex.5,0.9138393
model_antiviral3_879_complex.19,0.91349596
model_antiviral3_3653_complex.17,0.9129513
model_antiviral3_4229_complex.16,0.9128109
model_antiviral3_780_complex.14,0.9125709
model_antiviral3_2932_complex.6,0.91249275
model_antiviral3_657_complex.14,0.91249156
model_antiviral3_1812_complex.3,0.91246945
model_antiviral3_856_complex.14,0.91223556
model_antiviral3_2149_complex.19,0.9122186
model_antiviral3_776_complex.17,0.9121778
model_antiviral3_3927_complex.12,0.9121195
model_antiviral3_2278_complex.15,0.9118408
model_antiviral3_2032_complex.15,0.9118054
model_antiviral3_1882_complex.15,0.9116187
model_antiviral3_3084_complex.16,0.91156703
model_antiviral3_888_complex.17,0.9114022
model_antiviral3_3024_complex.19,0.9113558
model_antiviral3_2004_complex.9,0.9112586
model_antiviral3_4210_complex.18,0.9111456
model_antiviral3_4374_complex.18,0.9111293
model_antiviral3_3178_complex.3,0.91112524
model_antiviral3_2401_complex.11,0.9110845
model_antiviral3_3189_complex.5,0.9110104
model_antiviral3_3202_complex.2,0.91074264
model_antiviral3_2762_complex.15,0.9107341
model_antiviral3_98_complex.20,0.91069627
model_antiviral3_1126_complex.4,0.91054845
model_antiviral3_3245_complex.16,0.9104257
model_antiviral3_3633_complex.4,0.9102651
model_antiviral3_2864_complex.6,0.91004086
model_antiviral3_1122_complex.6,0.9098968
model_antiviral3_1770_complex.13,0.90949315
model_antiviral3_2688_complex.6,0.90917534
model_antiviral3_1141_complex.13,0.9089124
model_antiviral3_2637_complex.20,0.90878224
model_antiviral3_1672_complex.7,0.90872633
model_antiviral3_789_complex.16,0.90834343
model_antiviral3_1808_complex.12,0.9082815
model_antiviral3_4134_complex.20,0.90800047
model_antiviral3_4292_complex.5,0.9078953
model_antiviral3_41_complex.13,0.90787697
model_antiviral3_2011_complex.2,0.90778786
model_antiviral3_863_complex.11,0.90765476
model_antiviral3_1033_complex.4,0.90759635
model_antiviral3_4287_complex.19,0.9073114
model_antiviral3_771_complex.2,0.9071933
model_antiviral3_2891_complex.16,0.90679264
model_antiviral3_1914_complex.13,0.9064401
model_antiviral3_671_complex.11,0.9063682
model_antiviral3_1762_complex.16,0.9062951
model_antiviral3_1610_complex.5,0.90626127
model_antiviral3_2540_complex.15,0.9062145
model_antiviral3_876_complex.20,0.906074
model_antiviral3_1609_complex.6,0.9060234
model_antiviral3_567_complex.6,0.90570825
model_antiviral3_1933_complex.13,0.90563715
model_antiviral3_2265_complex.5,0.90529597
model_antiviral3_2049_complex.14,0.90511817
model_antiviral3_89_complex.20,0.9051171
model_antiviral3_1085_complex.14,0.90509266
model_antiviral3_2307_complex.6,0.9050686
model_antiviral3_1921_complex.20,0.9050631
model_antiviral3_4107_complex.5,0.9048634
model_antiviral3_3295_complex.2,0.9048303
model_antiviral3_1141_complex.20,0.90474564
model_antiviral3_4369_complex.8,0.90417457
model_antiviral3_1286_complex.8,0.90385747
model_antiviral3_2548_complex.20,0.9036932
model_antiviral3_514_complex.19,0.90353066
model_antiviral3_1254_complex.2,0.9032771
model_antiviral3_963_complex.9,0.9032566
model_antiviral3_1723_complex.10,0.90315163
model_antiviral3_1393_complex.16,0.9030517
