name,prediction,conf
model_antiviral2_220,0.9715853999999999,model_antiviral2_220_complex.2
model_antiviral2_3728,0.96893054,model_antiviral2_3728_complex.2
model_antiviral2_1455,0.96524817,model_antiviral2_1455_complex.5
model_antiviral2_1045,0.9628049000000001,model_antiviral2_1045_complex.5
model_antiviral2_2858,0.9611508,model_antiviral2_2858_complex.9
model_antiviral2_3277,0.94886255,model_antiviral2_3277_complex.9
model_antiviral2_1853,0.94687384,model_antiviral2_1853_complex.6
model_antiviral2_3468,0.94681984,model_antiviral2_3468_complex.4
model_antiviral2_4401,0.9445563,model_antiviral2_4401_complex.6
model_antiviral2_962,0.9373732,model_antiviral2_962_complex.4
model_antiviral2_4426,0.93454933,model_antiviral2_4426_complex.6
model_antiviral2_4476,0.9327825999999999,model_antiviral2_4476_complex.2
model_antiviral2_1412,0.9318136,model_antiviral2_1412_complex.4
model_antiviral2_3078,0.9264916,model_antiviral2_3078_complex.7
model_antiviral2_617,0.92577004,model_antiviral2_617_complex.5
model_antiviral2_2992,0.9241026,model_antiviral2_2992_complex.3
model_antiviral2_3928,0.92024344,model_antiviral2_3928_complex.5
model_antiviral2_2749,0.9180751,model_antiviral2_2749_complex.9
model_antiviral2_3926,0.9160376,model_antiviral2_3926_complex.6
model_antiviral2_1295,0.9135690999999999,model_antiviral2_1295_complex.2
model_antiviral2_2509,0.9114003,model_antiviral2_2509_complex.1
model_antiviral2_4914,0.9112556999999999,model_antiviral2_4914_complex.8
model_antiviral2_3812,0.90711933,model_antiviral2_3812_complex.8
model_antiviral2_1211,0.90375024,model_antiviral2_1211_complex.9
model_antiviral2_2748,0.9022735000000001,model_antiviral2_2748_complex.9
model_antiviral2_507,0.9022084,model_antiviral2_507_complex.7
model_antiviral2_4215,0.9011222,model_antiviral2_4215_complex.4
model_antiviral2_2650,0.8996466999999999,model_antiviral2_2650_complex.3
model_antiviral2_3386,0.89717674,model_antiviral2_3386_complex.8
model_antiviral2_385,0.89717567,model_antiviral2_385_complex.4
model_antiviral2_2522,0.8956476999999999,model_antiviral2_2522_complex.8
model_antiviral2_338,0.89564246,model_antiviral2_338_complex.8
model_antiviral2_4275,0.89502686,model_antiviral2_4275_complex.1
model_antiviral2_4154,0.89497685,model_antiviral2_4154_complex.6
model_antiviral2_4229,0.8946076999999999,model_antiviral2_4229_complex.2
model_antiviral2_2068,0.8938139999999999,model_antiviral2_2068_complex.5
model_antiviral2_3413,0.8934683000000001,model_antiviral2_3413_complex.6
model_antiviral2_2269,0.89338005,model_antiviral2_2269_complex.3
model_antiviral2_1520,0.89218843,model_antiviral2_1520_complex.9
model_antiviral2_1158,0.89191073,model_antiviral2_1158_complex.7
model_antiviral2_619,0.88859105,model_antiviral2_619_complex.5
model_antiviral2_1497,0.88807255,model_antiviral2_1497_complex.1
model_antiviral2_4896,0.8874569,model_antiviral2_4896_complex.7
model_antiviral2_4486,0.88715446,model_antiviral2_4486_complex.3
model_antiviral2_4760,0.88690704,model_antiviral2_4760_complex.8
model_antiviral2_3042,0.8849563,model_antiviral2_3042_complex.9
model_antiviral2_174,0.88486606,model_antiviral2_174_complex.8
model_antiviral2_4942,0.8833654000000001,model_antiviral2_4942_complex.7
model_antiviral2_3864,0.8828625,model_antiviral2_3864_complex.7
model_antiviral2_4655,0.88268507,model_antiviral2_4655_complex.3
model_antiviral2_2882,0.88242906,model_antiviral2_2882_complex.5
model_antiviral2_3744,0.8822948,model_antiviral2_3744_complex.8
model_antiviral2_1665,0.8798048,model_antiviral2_1665_complex.7
model_antiviral2_2227,0.8795379999999999,model_antiviral2_2227_complex.4
model_antiviral2_2176,0.8776267,model_antiviral2_2176_complex.3
model_antiviral2_733,0.87738276,model_antiviral2_733_complex.4
model_antiviral2_1288,0.87706286,model_antiviral2_1288_complex.8
model_antiviral2_376,0.87635815,model_antiviral2_376_complex.5
model_antiviral2_1410,0.876025,model_antiviral2_1410_complex.8
model_antiviral2_1139,0.87560904,model_antiviral2_1139_complex.6
model_antiviral2_2461,0.875259,model_antiviral2_2461_complex.3
model_antiviral2_909,0.873935,model_antiviral2_909_complex.4
model_antiviral2_864,0.87331474,model_antiviral2_864_complex.5
model_antiviral2_2427,0.8731882,model_antiviral2_2427_complex.7
model_antiviral2_3644,0.8729448000000001,model_antiviral2_3644_complex.1
model_antiviral2_1607,0.8718144,model_antiviral2_1607_complex.6
model_antiviral2_3725,0.8713818999999999,model_antiviral2_3725_complex.7
model_antiviral2_3503,0.87107813,model_antiviral2_3503_complex.5
model_antiviral2_1549,0.87070763,model_antiviral2_1549_complex.3
model_antiviral2_3633,0.8704224,model_antiviral2_3633_complex.1
model_antiviral2_3722,0.86981374,model_antiviral2_3722_complex.1
model_antiviral2_2479,0.86972713,model_antiviral2_2479_complex.3
model_antiviral2_2098,0.86943257,model_antiviral2_2098_complex.3
model_antiviral2_4869,0.8691896000000001,model_antiviral2_4869_complex.2
model_antiviral2_1911,0.8688971,model_antiviral2_1911_complex.1
model_antiviral2_731,0.8688468,model_antiviral2_731_complex.5
model_antiviral2_3351,0.8687533000000002,model_antiviral2_3351_complex.4
model_antiviral2_4725,0.8671707000000001,model_antiviral2_4725_complex.1
model_antiviral2_610,0.86649424,model_antiviral2_610_complex.4
model_antiviral2_3084,0.86597073,model_antiviral2_3084_complex.9
model_antiviral2_10,0.8654688,model_antiviral2_10_complex.6
model_antiviral2_414,0.86465126,model_antiviral2_414_complex.4
model_antiviral2_2226,0.8637882,model_antiviral2_2226_complex.5
model_antiviral2_4097,0.8635903,model_antiviral2_4097_complex.2
model_antiviral2_922,0.8635376,model_antiviral2_922_complex.3
model_antiviral2_1653,0.8618321,model_antiviral2_1653_complex.5
model_antiviral2_259,0.8614793,model_antiviral2_259_complex.2
model_antiviral2_4224,0.85979563,model_antiviral2_4224_complex.5
model_antiviral2_3910,0.8593774,model_antiviral2_3910_complex.7
model_antiviral2_2954,0.859259,model_antiviral2_2954_complex.9
model_antiviral2_2476,0.85818267,model_antiviral2_2476_complex.1
model_antiviral2_3326,0.8579328000000002,model_antiviral2_3326_complex.7
model_antiviral2_1378,0.85757035,model_antiviral2_1378_complex.8
model_antiviral2_3526,0.855993,model_antiviral2_3526_complex.4
model_antiviral2_1775,0.8557106,model_antiviral2_1775_complex.8
model_antiviral2_2253,0.8551716999999999,model_antiviral2_2253_complex.6
model_antiviral2_3942,0.85468614,model_antiviral2_3942_complex.6
model_antiviral2_559,0.85388106,model_antiviral2_559_complex.4
model_antiviral2_4028,0.85378164,model_antiviral2_4028_complex.4
model_antiviral2_579,0.8535345,model_antiviral2_579_complex.3
model_antiviral2_3459,0.8534775,model_antiviral2_3459_complex.8
model_antiviral2_621,0.8528313,model_antiviral2_621_complex.5
model_antiviral2_902,0.8526676999999999,model_antiviral2_902_complex.5
model_antiviral2_4920,0.8522296999999999,model_antiviral2_4920_complex.2
model_antiviral2_2847,0.85206735,model_antiviral2_2847_complex.4
model_antiviral2_1995,0.85186625,model_antiviral2_1995_complex.7
model_antiviral2_4815,0.85181737,model_antiviral2_4815_complex.2
model_antiviral2_2810,0.84991395,model_antiviral2_2810_complex.1
model_antiviral2_1820,0.8483782,model_antiviral2_1820_complex.2
model_antiviral2_4399,0.84781575,model_antiviral2_4399_complex.8
model_antiviral2_2528,0.84753406,model_antiviral2_2528_complex.3
model_antiviral2_2529,0.84735554,model_antiviral2_2529_complex.5
model_antiviral2_1611,0.84679013,model_antiviral2_1611_complex.4
model_antiviral2_3118,0.84633476,model_antiviral2_3118_complex.6
model_antiviral2_1132,0.84623164,model_antiviral2_1132_complex.8
model_antiviral2_250,0.8459594000000001,model_antiviral2_250_complex.2
model_antiviral2_1384,0.8457484000000001,model_antiviral2_1384_complex.6
model_antiviral2_3678,0.8452329,model_antiviral2_3678_complex.5
model_antiviral2_2499,0.84478086,model_antiviral2_2499_complex.9
model_antiviral2_1855,0.8447333,model_antiviral2_1855_complex.7
model_antiviral2_4056,0.8443424,model_antiviral2_4056_complex.3
model_antiviral2_4500,0.8440240999999999,model_antiviral2_4500_complex.2
model_antiviral2_4578,0.8439450999999999,model_antiviral2_4578_complex.7
model_antiviral2_2036,0.8435326,model_antiviral2_2036_complex.3
model_antiviral2_608,0.8435034,model_antiviral2_608_complex.8
model_antiviral2_572,0.8433268,model_antiviral2_572_complex.4
model_antiviral2_1391,0.842306,model_antiviral2_1391_complex.4
model_antiviral2_3333,0.84209794,model_antiviral2_3333_complex.4
model_antiviral2_4494,0.8417456,model_antiviral2_4494_complex.4
model_antiviral2_2816,0.84101456,model_antiviral2_2816_complex.3
model_antiviral2_2026,0.8407834000000001,model_antiviral2_2026_complex.6
model_antiviral2_2320,0.840774,model_antiviral2_2320_complex.6
model_antiviral2_4443,0.8401453000000001,model_antiviral2_4443_complex.3
model_antiviral2_4715,0.84009564,model_antiviral2_4715_complex.7
model_antiviral2_1945,0.8398916,model_antiviral2_1945_complex.3
model_antiviral2_1114,0.8395110999999998,model_antiviral2_1114_complex.5
model_antiviral2_2322,0.8393475,model_antiviral2_2322_complex.2
model_antiviral2_2118,0.8392668,model_antiviral2_2118_complex.8
