name,prediction
model_antiviral2_220_complex.2,0.9715854
model_antiviral2_3728_complex.2,0.96893054
model_antiviral2_1455_complex.5,0.96524817
model_antiviral2_1045_complex.5,0.9628049
model_antiviral2_2858_complex.9,0.9611508
model_antiviral2_3277_complex.9,0.94886255
model_antiviral2_1853_complex.6,0.94687384
model_antiviral2_3468_complex.4,0.94681984
model_antiviral2_4401_complex.6,0.9445563
model_antiviral2_962_complex.4,0.9373732
model_antiviral2_4426_complex.6,0.93454933
model_antiviral2_4476_complex.2,0.9327826
model_antiviral2_1412_complex.4,0.9318136
model_antiviral2_3078_complex.7,0.9264916
model_antiviral2_617_complex.5,0.92577004
model_antiviral2_2992_complex.3,0.9241026
model_antiviral2_3928_complex.5,0.92024344
model_antiviral2_2749_complex.9,0.9180751
model_antiviral2_3926_complex.6,0.9160376
model_antiviral2_1295_complex.2,0.9135691
model_antiviral2_2509_complex.1,0.9114003
model_antiviral2_4914_complex.8,0.9112557
model_antiviral2_3812_complex.8,0.90711933
model_antiviral2_1211_complex.9,0.90375024
model_antiviral2_2748_complex.9,0.9022735
model_antiviral2_507_complex.7,0.9022084
model_antiviral2_4215_complex.4,0.9011222
model_antiviral2_2650_complex.3,0.8996467
model_antiviral2_3386_complex.8,0.89717674
model_antiviral2_385_complex.4,0.89717567
model_antiviral2_2522_complex.8,0.8956477
model_antiviral2_338_complex.8,0.89564246
model_antiviral2_4275_complex.1,0.89502686
model_antiviral2_4154_complex.6,0.89497685
model_antiviral2_4229_complex.2,0.8946077
model_antiviral2_2068_complex.5,0.893814
model_antiviral2_3413_complex.6,0.8934683
model_antiviral2_2269_complex.3,0.89338005
model_antiviral2_1520_complex.9,0.89218843
model_antiviral2_1158_complex.7,0.89191073
model_antiviral2_619_complex.5,0.88859105
model_antiviral2_1497_complex.1,0.88807255
model_antiviral2_4896_complex.7,0.8874569
model_antiviral2_4486_complex.3,0.88715446
model_antiviral2_4760_complex.8,0.88690704
model_antiviral2_3042_complex.9,0.8849563
model_antiviral2_174_complex.8,0.88486606
model_antiviral2_4942_complex.7,0.8833654
model_antiviral2_3864_complex.7,0.8828625
model_antiviral2_4655_complex.3,0.88268507
model_antiviral2_2882_complex.5,0.88242906
model_antiviral2_3744_complex.8,0.8822948
model_antiviral2_1665_complex.7,0.8798048
model_antiviral2_2227_complex.4,0.879538
model_antiviral2_2176_complex.3,0.8776267
model_antiviral2_733_complex.4,0.87738276
model_antiviral2_1288_complex.8,0.87706286
model_antiviral2_376_complex.5,0.87635815
model_antiviral2_1410_complex.8,0.876025
model_antiviral2_3413_complex.2,0.8757681
model_antiviral2_1139_complex.6,0.87560904
model_antiviral2_2461_complex.3,0.875259
model_antiviral2_909_complex.4,0.873935
model_antiviral2_864_complex.5,0.87331474
model_antiviral2_2427_complex.7,0.8731882
model_antiviral2_3644_complex.1,0.8729448
model_antiviral2_3812_complex.1,0.8718559
model_antiviral2_1607_complex.6,0.8718144
model_antiviral2_3725_complex.7,0.8713819
model_antiviral2_3503_complex.5,0.87107813
model_antiviral2_1549_complex.3,0.87070763
model_antiviral2_3633_complex.1,0.8704224
model_antiviral2_3722_complex.1,0.86981374
model_antiviral2_2479_complex.3,0.86972713
model_antiviral2_2098_complex.3,0.86943257
model_antiviral2_4869_complex.2,0.8691896
model_antiviral2_1911_complex.1,0.8688971
model_antiviral2_731_complex.5,0.8688468
model_antiviral2_3351_complex.4,0.8687533
model_antiviral2_4725_complex.1,0.8671707
model_antiviral2_610_complex.4,0.86649424
model_antiviral2_3084_complex.9,0.86597073
model_antiviral2_10_complex.6,0.8654688
model_antiviral2_414_complex.4,0.86465126
model_antiviral2_2226_complex.5,0.8637882
model_antiviral2_4097_complex.2,0.8635903
model_antiviral2_922_complex.3,0.8635376
model_antiviral2_1653_complex.5,0.8618321
model_antiviral2_259_complex.2,0.8614793
model_antiviral2_4224_complex.5,0.85979563
model_antiviral2_3910_complex.7,0.8593774
model_antiviral2_2954_complex.9,0.859259
model_antiviral2_2476_complex.1,0.85818267
model_antiviral2_3326_complex.7,0.8579328
model_antiviral2_1378_complex.8,0.85757035
model_antiviral2_3526_complex.4,0.855993
model_antiviral2_1775_complex.8,0.8557106
model_antiviral2_2253_complex.6,0.8551717
model_antiviral2_3942_complex.6,0.85468614
model_antiviral2_559_complex.4,0.85388106
model_antiviral2_4028_complex.4,0.85378164
model_antiviral2_579_complex.3,0.8535345
model_antiviral2_3459_complex.8,0.8534775
model_antiviral2_621_complex.5,0.8528313
model_antiviral2_902_complex.5,0.8526677
model_antiviral2_4920_complex.2,0.8522297
model_antiviral2_2847_complex.4,0.85206735
model_antiviral2_1995_complex.7,0.85186625
model_antiviral2_4815_complex.2,0.85181737
model_antiviral2_2810_complex.1,0.84991395
model_antiviral2_1820_complex.2,0.8483782
model_antiviral2_4399_complex.8,0.84781575
model_antiviral2_2528_complex.3,0.84753406
model_antiviral2_2529_complex.5,0.84735554
model_antiviral2_1611_complex.4,0.84679013
model_antiviral2_3744_complex.1,0.84638995
model_antiviral2_3118_complex.6,0.84633476
model_antiviral2_1132_complex.8,0.84623164
model_antiviral2_250_complex.2,0.8459594
model_antiviral2_1384_complex.6,0.8457484
model_antiviral2_3678_complex.5,0.8452329
model_antiviral2_2499_complex.9,0.84478086
model_antiviral2_1855_complex.7,0.8447333
model_antiviral2_4056_complex.3,0.8443424
model_antiviral2_4500_complex.2,0.8440241
model_antiviral2_4578_complex.7,0.8439451
model_antiviral2_2036_complex.3,0.8435326
model_antiviral2_608_complex.8,0.8435034
model_antiviral2_572_complex.4,0.8433268
model_antiviral2_1391_complex.4,0.842306
model_antiviral2_3333_complex.4,0.84209794
model_antiviral2_4494_complex.4,0.8417456
