name,prediction,conf
model_antiviral4_3124,0.99579155,model_antiviral4_3124_complex.11
model_antiviral4_1247,0.99459165,model_antiviral4_1247_complex.12
model_antiviral4_1099,0.99300814,model_antiviral4_1099_complex.6
model_antiviral4_3025,0.9912780999999999,model_antiviral4_3025_complex.20
model_antiviral4_3600,0.9906020000000001,model_antiviral4_3600_complex.12
model_antiviral4_130,0.99060035,model_antiviral4_130_complex.12
model_antiviral4_1727,0.99032587,model_antiviral4_1727_complex.8
model_antiviral4_3286,0.9890631999999999,model_antiviral4_3286_complex.5
model_antiviral4_4050,0.98831964,model_antiviral4_4050_complex.19
model_antiviral4_340,0.9880184000000001,model_antiviral4_340_complex.17
model_antiviral4_1910,0.98789203,model_antiviral4_1910_complex.8
model_antiviral4_3491,0.9878855,model_antiviral4_3491_complex.15
model_antiviral4_1464,0.9868846,model_antiviral4_1464_complex.14
model_antiviral4_434,0.98683107,model_antiviral4_434_complex.18
model_antiviral4_4008,0.9864179,model_antiviral4_4008_complex.19
model_antiviral4_819,0.9864014000000001,model_antiviral4_819_complex.6
model_antiviral4_1459,0.98492026,model_antiviral4_1459_complex.3
model_antiviral4_1573,0.9835788000000001,model_antiviral4_1573_complex.17
model_antiviral4_1678,0.98302746,model_antiviral4_1678_complex.3
model_antiviral4_1795,0.98297656,model_antiviral4_1795_complex.18
model_antiviral4_3276,0.982874,model_antiviral4_3276_complex.14
model_antiviral4_3731,0.9828498,model_antiviral4_3731_complex.8
model_antiviral4_2443,0.9820734,model_antiviral4_2443_complex.7
model_antiviral4_1841,0.9814729999999999,model_antiviral4_1841_complex.6
model_antiviral4_1973,0.98128784,model_antiviral4_1973_complex.2
model_antiviral4_1202,0.9812097,model_antiviral4_1202_complex.20
model_antiviral4_0,0.9807246999999999,model_antiviral4_0_complex.18
model_antiviral4_1762,0.98042184,model_antiviral4_1762_complex.13
model_antiviral4_1636,0.9802058000000001,model_antiviral4_1636_complex.20
model_antiviral4_3682,0.97989094,model_antiviral4_3682_complex.19
model_antiviral4_1760,0.9797290000000001,model_antiviral4_1760_complex.8
model_antiviral4_3209,0.97968185,model_antiviral4_3209_complex.4
model_antiviral4_3260,0.97952545,model_antiviral4_3260_complex.15
model_antiviral4_3625,0.9781767,model_antiviral4_3625_complex.12
model_antiviral4_959,0.9768475000000001,model_antiviral4_959_complex.7
model_antiviral4_3566,0.9764752,model_antiviral4_3566_complex.14
model_antiviral4_887,0.97627276,model_antiviral4_887_complex.3
model_antiviral4_2694,0.97621846,model_antiviral4_2694_complex.7
model_antiviral4_4109,0.9761405000000001,model_antiviral4_4109_complex.6
model_antiviral4_3698,0.9756127,model_antiviral4_3698_complex.7
model_antiviral4_1154,0.97482467,model_antiviral4_1154_complex.16
model_antiviral4_3969,0.9746466,model_antiviral4_3969_complex.2
model_antiviral4_1391,0.97449094,model_antiviral4_1391_complex.13
model_antiviral4_4031,0.97409207,model_antiviral4_4031_complex.17
model_antiviral4_520,0.9738522,model_antiviral4_520_complex.5
model_antiviral4_783,0.9738085999999999,model_antiviral4_783_complex.16
model_antiviral4_773,0.97372335,model_antiviral4_773_complex.4
model_antiviral4_3389,0.97332674,model_antiviral4_3389_complex.7
model_antiviral4_683,0.9732709,model_antiviral4_683_complex.3
model_antiviral4_780,0.97283745,model_antiviral4_780_complex.12
model_antiviral4_747,0.97260475,model_antiviral4_747_complex.17
model_antiviral4_3700,0.9721050999999999,model_antiviral4_3700_complex.12
model_antiviral4_3978,0.97206444,model_antiviral4_3978_complex.4
model_antiviral4_2600,0.97193944,model_antiviral4_2600_complex.19
model_antiviral4_2541,0.9715190999999999,model_antiviral4_2541_complex.15
model_antiviral4_1510,0.9711369000000001,model_antiviral4_1510_complex.9
model_antiviral4_3669,0.97101384,model_antiviral4_3669_complex.19
model_antiviral4_2048,0.97052044,model_antiviral4_2048_complex.3
model_antiviral4_13,0.97044367,model_antiviral4_13_complex.9
model_antiviral4_2366,0.9704302,model_antiviral4_2366_complex.18
model_antiviral4_3297,0.9704249,model_antiviral4_3297_complex.19
model_antiviral4_3838,0.9693964,model_antiviral4_3838_complex.8
model_antiviral4_3198,0.9693468000000001,model_antiviral4_3198_complex.17
model_antiviral4_171,0.9692940999999999,model_antiviral4_171_complex.2
model_antiviral4_2838,0.9692851,model_antiviral4_2838_complex.6
model_antiviral4_3979,0.9692704,model_antiviral4_3979_complex.14
model_antiviral4_4100,0.9687681999999999,model_antiviral4_4100_complex.10
model_antiviral4_1426,0.9687318000000001,model_antiviral4_1426_complex.4
model_antiviral4_2684,0.96853673,model_antiviral4_2684_complex.12
model_antiviral4_374,0.96843976,model_antiviral4_374_complex.5
model_antiviral4_4164,0.96835536,model_antiviral4_4164_complex.20
model_antiviral4_2405,0.96806586,model_antiviral4_2405_complex.3
model_antiviral4_1027,0.9679496999999999,model_antiviral4_1027_complex.18
model_antiviral4_3894,0.9679059000000001,model_antiviral4_3894_complex.16
model_antiviral4_3594,0.96733934,model_antiviral4_3594_complex.10
model_antiviral4_3792,0.9672860000000001,model_antiviral4_3792_complex.2
model_antiviral4_1545,0.9668706,model_antiviral4_1545_complex.14
model_antiviral4_2127,0.96670055,model_antiviral4_2127_complex.11
model_antiviral4_295,0.9661620000000001,model_antiviral4_295_complex.20
model_antiviral4_2265,0.9660351999999999,model_antiviral4_2265_complex.7
model_antiviral4_1256,0.9659573,model_antiviral4_1256_complex.1
model_antiviral4_1667,0.9651568000000001,model_antiviral4_1667_complex.17
model_antiviral4_2961,0.96474063,model_antiviral4_2961_complex.3
model_antiviral4_264,0.96429485,model_antiviral4_264_complex.10
