name,prediction
model_antiviral4_3124_complex.11,0.99579155
model_antiviral4_1247_complex.12,0.99459165
model_antiviral4_1099_complex.6,0.99300814
model_antiviral4_3025_complex.20,0.9912781
model_antiviral4_3600_complex.12,0.990602
model_antiviral4_130_complex.12,0.99060035
model_antiviral4_1727_complex.8,0.99032587
model_antiviral4_3286_complex.5,0.9890632
model_antiviral4_4050_complex.19,0.98831964
model_antiviral4_340_complex.17,0.9880184
model_antiviral4_1910_complex.8,0.98789203
model_antiviral4_3491_complex.15,0.9878855
model_antiviral4_1464_complex.14,0.9868846
model_antiviral4_434_complex.18,0.98683107
model_antiviral4_4008_complex.19,0.9864179
model_antiviral4_819_complex.6,0.9864014
model_antiviral4_1459_complex.3,0.98492026
model_antiviral4_1573_complex.17,0.9835788
model_antiviral4_1678_complex.3,0.98302746
model_antiviral4_1795_complex.18,0.98297656
model_antiviral4_3276_complex.14,0.982874
model_antiviral4_3731_complex.8,0.9828498
model_antiviral4_2443_complex.7,0.9820734
model_antiviral4_1841_complex.6,0.981473
model_antiviral4_1973_complex.2,0.98128784
model_antiviral4_1202_complex.20,0.9812097
model_antiviral4_0_complex.18,0.9807247
model_antiviral4_1762_complex.13,0.98042184
model_antiviral4_1636_complex.20,0.9802058
model_antiviral4_3682_complex.19,0.97989094
model_antiviral4_1760_complex.8,0.979729
model_antiviral4_3209_complex.4,0.97968185
model_antiviral4_3260_complex.15,0.97952545
model_antiviral4_3625_complex.12,0.9781767
model_antiviral4_959_complex.7,0.9768475
model_antiviral4_3566_complex.14,0.9764752
model_antiviral4_887_complex.3,0.97627276
model_antiviral4_2694_complex.7,0.97621846
model_antiviral4_4109_complex.6,0.9761405
model_antiviral4_3698_complex.7,0.9756127
model_antiviral4_1154_complex.16,0.97482467
model_antiviral4_3969_complex.2,0.9746466
model_antiviral4_1391_complex.13,0.97449094
model_antiviral4_4031_complex.17,0.97409207
model_antiviral4_520_complex.5,0.9738522
model_antiviral4_783_complex.16,0.9738086
model_antiviral4_773_complex.4,0.97372335
model_antiviral4_3389_complex.7,0.97332674
model_antiviral4_683_complex.3,0.9732709
model_antiviral4_780_complex.12,0.97283745
model_antiviral4_747_complex.17,0.97260475
model_antiviral4_3700_complex.12,0.9721051
model_antiviral4_3978_complex.4,0.97206444
model_antiviral4_2600_complex.19,0.97193944
model_antiviral4_2541_complex.15,0.9715191
model_antiviral4_1510_complex.9,0.9711369
model_antiviral4_3669_complex.19,0.97101384
model_antiviral4_2048_complex.3,0.97052044
model_antiviral4_13_complex.9,0.97044367
model_antiviral4_2366_complex.18,0.9704302
model_antiviral4_3297_complex.19,0.9704249
model_antiviral4_3838_complex.8,0.9693964
model_antiviral4_3198_complex.17,0.9693468
model_antiviral4_171_complex.2,0.9692941
model_antiviral4_2838_complex.6,0.9692851
model_antiviral4_3979_complex.14,0.9692704
model_antiviral4_3600_complex.4,0.96920544
model_antiviral4_4100_complex.10,0.9687682
model_antiviral4_1426_complex.4,0.9687318
model_antiviral4_2684_complex.12,0.96853673
model_antiviral4_374_complex.5,0.96843976
model_antiviral4_4164_complex.20,0.96835536
model_antiviral4_959_complex.14,0.9682363
model_antiviral4_2405_complex.3,0.96806586
model_antiviral4_1027_complex.18,0.9679497
model_antiviral4_3894_complex.16,0.9679059
model_antiviral4_3594_complex.10,0.96733934
model_antiviral4_3792_complex.2,0.967286
model_antiviral4_1545_complex.14,0.9668706
model_antiviral4_2127_complex.11,0.96670055
model_antiviral4_295_complex.20,0.966162
model_antiviral4_2265_complex.7,0.9660352
model_antiviral4_1256_complex.1,0.9659573
model_antiviral4_1667_complex.17,0.9651568
model_antiviral4_2961_complex.3,0.96474063
model_antiviral4_264_complex.10,0.96429485
model_antiviral4_2809_complex.10,0.9639829
model_antiviral4_2699_complex.14,0.9639409
model_antiviral4_2685_complex.16,0.96376014
model_antiviral4_4123_complex.6,0.9631423
model_antiviral4_130_complex.9,0.9630158
model_antiviral4_3063_complex.18,0.9629973
model_antiviral4_3042_complex.1,0.9629491
model_antiviral4_2456_complex.9,0.962946
model_antiviral4_2074_complex.10,0.9626723
model_antiviral4_1903_complex.5,0.96247977
model_antiviral4_1905_complex.8,0.96196413
model_antiviral4_2470_complex.6,0.96177363
model_antiviral4_4022_complex.13,0.9610448
model_antiviral4_847_complex.11,0.96099865
model_antiviral4_1450_complex.9,0.96090585
model_antiviral4_1629_complex.19,0.9608635
model_antiviral4_3805_complex.18,0.96055377
model_antiviral4_655_complex.20,0.96046346
model_antiviral4_1767_complex.5,0.96041495
model_antiviral4_2883_complex.18,0.96035165
model_antiviral4_2708_complex.20,0.96027124
model_antiviral4_1467_complex.2,0.9602695
model_antiviral4_1519_complex.3,0.9602198
model_antiviral4_518_complex.10,0.9601118
model_antiviral4_1337_complex.13,0.960052
model_antiviral4_397_complex.14,0.9600477
model_antiviral4_741_complex.5,0.95985836
model_antiviral4_3413_complex.3,0.95984364
model_antiviral4_527_complex.16,0.95980614
model_antiviral4_2399_complex.11,0.95968914
model_antiviral4_2637_complex.4,0.9596203
model_antiviral4_1464_complex.1,0.95954496
model_antiviral4_4256_complex.9,0.95952904
model_antiviral4_2159_complex.12,0.9593915
model_antiviral4_2292_complex.15,0.9589361
model_antiviral4_1005_complex.5,0.95893556
model_antiviral4_669_complex.17,0.9586411
model_antiviral4_2864_complex.19,0.95828855
model_antiviral4_3389_complex.11,0.957824
model_antiviral4_384_complex.20,0.95777255
model_antiviral4_1426_complex.10,0.9573835
model_antiviral4_627_complex.15,0.9570989
model_antiviral4_678_complex.19,0.9570173
model_antiviral4_694_complex.8,0.95677304
model_antiviral4_3985_complex.14,0.9558774
model_antiviral4_1944_complex.6,0.9557978
model_antiviral4_3941_complex.9,0.95570433
model_antiviral4_3645_complex.12,0.95569295
model_antiviral4_4201_complex.5,0.9555548
model_antiviral4_3036_complex.7,0.9555411
model_antiviral4_3591_complex.10,0.9554663
model_antiviral4_1050_complex.6,0.9554021
model_antiviral4_2721_complex.20,0.9553136
model_antiviral4_838_complex.17,0.95505935
model_antiviral4_3497_complex.13,0.9550253
model_antiviral4_980_complex.7,0.95501703
model_antiviral4_3349_complex.18,0.9549413
model_antiviral4_1086_complex.15,0.95472467
model_antiviral4_2954_complex.12,0.9544678
model_antiviral4_3567_complex.20,0.9541231
model_antiviral4_2733_complex.13,0.9541137
model_antiviral4_2888_complex.9,0.9539234
model_antiviral4_2667_complex.4,0.9539197
model_antiviral4_3714_complex.1,0.9538373
model_antiviral4_2330_complex.6,0.953709
model_antiviral4_3312_complex.15,0.9535435
model_antiviral4_4278_complex.8,0.9533848
model_antiviral4_1020_complex.10,0.9533547
model_antiviral4_4016_complex.2,0.95331115
model_antiviral4_1445_complex.13,0.9532392
model_antiviral4_2099_complex.7,0.953165
model_antiviral4_933_complex.14,0.95316166
model_antiviral4_301_complex.9,0.9531574
model_antiviral4_1621_complex.11,0.9529697
model_antiviral4_1852_complex.16,0.95292056
model_antiviral4_1022_complex.18,0.9528613
model_antiviral4_3092_complex.7,0.9526108
model_antiviral4_3175_complex.17,0.95257574
model_antiviral4_91_complex.8,0.9525032
model_antiviral4_4183_complex.18,0.95248544
model_antiviral4_821_complex.9,0.9524251
model_antiviral4_1420_complex.6,0.9520742
model_antiviral4_4090_complex.11,0.95179206
model_antiviral4_1082_complex.19,0.9517428
model_antiviral4_3043_complex.18,0.951668
model_antiviral4_2754_complex.5,0.95162934
model_antiviral4_3663_complex.20,0.95161724
model_antiviral4_2890_complex.2,0.9514983
model_antiviral4_3570_complex.20,0.951482
model_antiviral4_2693_complex.9,0.9514359
model_antiviral4_2877_complex.5,0.95131326
model_antiviral4_1373_complex.8,0.95118433
model_antiviral4_3978_complex.2,0.95104396
model_antiviral4_1376_complex.19,0.9510276
model_antiviral4_1336_complex.11,0.9509664
model_antiviral4_3432_complex.12,0.9507791
model_antiviral4_2732_complex.14,0.95076853
model_antiviral4_2717_complex.9,0.95073533
model_antiviral4_1168_complex.18,0.9506342
model_antiviral4_3073_complex.6,0.95055866
model_antiviral4_1641_complex.10,0.95050645
model_antiviral4_2581_complex.15,0.9504501
model_antiviral4_582_complex.15,0.95039433
model_antiviral4_2152_complex.12,0.95031863
model_antiviral4_1139_complex.5,0.9503073
model_antiviral4_2201_complex.13,0.950157
model_antiviral4_2701_complex.4,0.94989926
model_antiviral4_1521_complex.12,0.9498653
model_antiviral4_1616_complex.14,0.9497931
model_antiviral4_2063_complex.11,0.9497424
model_antiviral4_1737_complex.5,0.9494791
model_antiviral4_170_complex.8,0.9494391
model_antiviral4_2708_complex.15,0.9493349
model_antiviral4_151_complex.18,0.94932437
model_antiviral4_168_complex.12,0.9490463
model_antiviral4_802_complex.16,0.94899315
model_antiviral4_2231_complex.4,0.94879526
model_antiviral4_2258_complex.15,0.9487387
model_antiviral4_4122_complex.19,0.9486059
model_antiviral4_3329_complex.12,0.9484802
model_antiviral4_278_complex.8,0.94844776
model_antiviral4_3666_complex.3,0.9483569
model_antiviral4_3275_complex.20,0.9483463
model_antiviral4_1816_complex.7,0.9480965
model_antiviral4_414_complex.11,0.9478899
model_antiviral4_3969_complex.17,0.9476396
model_antiviral4_3363_complex.18,0.94754446
model_antiviral4_2188_complex.18,0.9475089
model_antiviral4_2660_complex.9,0.9474514
model_antiviral4_1688_complex.5,0.94733834
model_antiviral4_3505_complex.16,0.9472814
model_antiviral4_3244_complex.19,0.9472055
model_antiviral4_2864_complex.8,0.94710326
model_antiviral4_2347_complex.2,0.9470858
model_antiviral4_4078_complex.13,0.9469465
model_antiviral4_2855_complex.20,0.946807
model_antiviral4_264_complex.15,0.94671386
model_antiviral4_158_complex.6,0.94655424
model_antiviral4_1597_complex.4,0.946408
model_antiviral4_3660_complex.15,0.94635576
model_antiviral4_3082_complex.14,0.9461667
model_antiviral4_802_complex.2,0.94610703
model_antiviral4_4227_complex.4,0.9460554
model_antiviral4_2637_complex.8,0.9458597
model_antiviral4_836_complex.18,0.9458216
model_antiviral4_2262_complex.15,0.9456837
model_antiviral4_141_complex.17,0.9456468
model_antiviral4_1660_complex.15,0.9455708
model_antiviral4_3334_complex.15,0.9452651
model_antiviral4_2327_complex.18,0.9450015
model_antiviral4_38_complex.12,0.94499284
model_antiviral4_1722_complex.16,0.9447617
model_antiviral4_3568_complex.11,0.9447603
model_antiviral4_2166_complex.10,0.9447468
model_antiviral4_2830_complex.12,0.94471276
model_antiviral4_2684_complex.16,0.94465816
model_antiviral4_3049_complex.4,0.9445083
model_antiviral4_2008_complex.16,0.94449
model_antiviral4_2138_complex.18,0.9443107
model_antiviral4_1464_complex.6,0.9443101
model_antiviral4_1595_complex.18,0.9442173
model_antiviral4_3858_complex.12,0.9441098
model_antiviral4_1460_complex.2,0.9439959
model_antiviral4_392_complex.16,0.94398993
model_antiviral4_2368_complex.9,0.94398886
model_antiviral4_1686_complex.15,0.9439482
model_antiviral4_1090_complex.3,0.94385123
model_antiviral4_3208_complex.5,0.943792
model_antiviral4_1825_complex.19,0.94378847
model_antiviral4_1102_complex.18,0.94374484
model_antiviral4_4227_complex.15,0.94360715
model_antiviral4_3240_complex.9,0.94356596
model_antiviral4_2218_complex.13,0.9432763
model_antiviral4_3371_complex.6,0.94326675
model_antiviral4_1063_complex.16,0.9432014
model_antiviral4_2709_complex.16,0.9431078
model_antiviral4_2364_complex.16,0.94293374
model_antiviral4_3359_complex.18,0.9427369
model_antiviral4_1473_complex.10,0.94269866
model_antiviral4_3867_complex.20,0.9426978
model_antiviral4_2820_complex.18,0.94257295
model_antiviral4_3241_complex.3,0.9424843
model_antiviral4_3591_complex.12,0.94227755
model_antiviral4_4231_complex.10,0.94227153
model_antiviral4_675_complex.3,0.942271
model_antiviral4_1195_complex.4,0.94221216
model_antiviral4_265_complex.19,0.9421999
model_antiviral4_238_complex.10,0.9421753
model_antiviral4_1757_complex.20,0.9421729
model_antiviral4_3016_complex.6,0.94205385
model_antiviral4_710_complex.16,0.9419124
model_antiviral4_2282_complex.18,0.9418702
model_antiviral4_629_complex.20,0.9418509
model_antiviral4_2126_complex.4,0.9418186
model_antiviral4_4208_complex.18,0.9417924
model_antiviral4_1857_complex.17,0.94169027
model_antiviral4_2552_complex.14,0.94168305
model_antiviral4_3670_complex.10,0.9416054
model_antiviral4_96_complex.14,0.94155014
model_antiviral4_95_complex.4,0.9415045
model_antiviral4_1419_complex.3,0.94148135
model_antiviral4_301_complex.1,0.94142437
model_antiviral4_2498_complex.5,0.9413931
model_antiviral4_2594_complex.3,0.9413036
model_antiviral4_734_complex.4,0.9412252
model_antiviral4_3949_complex.14,0.9411952
model_antiviral4_3927_complex.9,0.94104093
model_antiviral4_645_complex.20,0.940951
model_antiviral4_3790_complex.10,0.94089544
model_antiviral4_2851_complex.15,0.940833
model_antiviral4_912_complex.8,0.9408183
model_antiviral4_3789_complex.9,0.940641
model_antiviral4_3700_complex.16,0.9406255
model_antiviral4_955_complex.16,0.94039685
model_antiviral4_3939_complex.16,0.9403554
model_antiviral4_3838_complex.17,0.9403546
model_antiviral4_16_complex.13,0.9401923
model_antiviral4_2220_complex.15,0.94010156
model_antiviral4_1282_complex.19,0.9400516
model_antiviral4_1527_complex.1,0.9398074
model_antiviral4_1295_complex.19,0.9397639
model_antiviral4_355_complex.12,0.9397276
model_antiviral4_3540_complex.17,0.93965435
model_antiviral4_911_complex.4,0.9396336
model_antiviral4_1299_complex.8,0.9396255
model_antiviral4_3925_complex.6,0.93957055
model_antiviral4_523_complex.8,0.9394425
model_antiviral4_2294_complex.10,0.9393782
model_antiviral4_582_complex.12,0.9392842
model_antiviral4_2470_complex.13,0.93912053
model_antiviral4_171_complex.4,0.9391153
model_antiviral4_3089_complex.18,0.9390926
model_antiviral4_874_complex.15,0.9389111
model_antiviral4_885_complex.13,0.9389053
model_antiviral4_1469_complex.14,0.93842137
model_antiviral4_3715_complex.9,0.9384108
model_antiviral4_2443_complex.12,0.93824905
model_antiviral4_388_complex.13,0.93816817
model_antiviral4_2370_complex.16,0.9381645
model_antiviral4_1426_complex.1,0.938107
model_antiviral4_3220_complex.11,0.93800145
model_antiviral4_2782_complex.4,0.93797976
model_antiviral4_1005_complex.2,0.9379374
model_antiviral4_235_complex.9,0.9378736
model_antiviral4_641_complex.16,0.93775547
model_antiviral4_1762_complex.6,0.9377027
model_antiviral4_2386_complex.11,0.9376683
model_antiviral4_683_complex.18,0.93758523
model_antiviral4_2445_complex.16,0.9374597
model_antiviral4_744_complex.15,0.9374518
