name,prediction,conf
model_antiviral_467,0.93401754,model_antiviral_467_complex.10
model_antiviral_1268,0.9302608,model_antiviral_1268_complex.18
model_antiviral_4346,0.9185453000000001,model_antiviral_4346_complex.12
model_antiviral_1120,0.9176605999999999,model_antiviral_1120_complex.14
model_antiviral_3087,0.91602147,model_antiviral_3087_complex.16
model_antiviral_0,0.91055584,model_antiviral_0_complex.11
model_antiviral_2816,0.9088874,model_antiviral_2816_complex.16
model_antiviral_272,0.9075962,model_antiviral_272_complex.16
model_antiviral_2514,0.90482056,model_antiviral_2514_complex.17
model_antiviral_3903,0.90313417,model_antiviral_3903_complex.11
model_antiviral_147,0.90227604,model_antiviral_147_complex.17
model_antiviral_3940,0.8801346,model_antiviral_3940_complex.15
model_antiviral_2585,0.8748991,model_antiviral_2585_complex.11
model_antiviral_4508,0.8723145,model_antiviral_4508_complex.16
model_antiviral_46,0.8664386000000001,model_antiviral_46_complex.4
model_antiviral_266,0.86175,model_antiviral_266_complex.12
model_antiviral_1620,0.8606068000000001,model_antiviral_1620_complex.6
model_antiviral_3483,0.85969186,model_antiviral_3483_complex.4
model_antiviral_1694,0.8561895,model_antiviral_1694_complex.11
model_antiviral_374,0.8555620999999999,model_antiviral_374_complex.20
model_antiviral_1698,0.85541785,model_antiviral_1698_complex.15
model_antiviral_3657,0.85372806,model_antiviral_3657_complex.15
model_antiviral_2034,0.8516024999999999,model_antiviral_2034_complex.17
model_antiviral_3474,0.85055244,model_antiviral_3474_complex.20
model_antiviral_1238,0.84811056,model_antiviral_1238_complex.9
model_antiviral_1198,0.84745324,model_antiviral_1198_complex.4
model_antiviral_3888,0.8462571,model_antiviral_3888_complex.20
model_antiviral_4629,0.8453146999999999,model_antiviral_4629_complex.15
model_antiviral_3977,0.84463763,model_antiviral_3977_complex.5
model_antiviral_3668,0.8438288,model_antiviral_3668_complex.9
model_antiviral_1097,0.8409530999999999,model_antiviral_1097_complex.6
model_antiviral_1735,0.83971393,model_antiviral_1735_complex.19
model_antiviral_4241,0.837052,model_antiviral_4241_complex.7
model_antiviral_2261,0.8352529000000001,model_antiviral_2261_complex.18
model_antiviral_3517,0.83329016,model_antiviral_3517_complex.5
model_antiviral_2628,0.8327193000000002,model_antiviral_2628_complex.15
model_antiviral_4679,0.82895285,model_antiviral_4679_complex.3
model_antiviral_1157,0.826182,model_antiviral_1157_complex.3
model_antiviral_3634,0.82581913,model_antiviral_3634_complex.9
model_antiviral_54,0.8257061,model_antiviral_54_complex.13
model_antiviral_1798,0.82546103,model_antiviral_1798_complex.19
model_antiviral_683,0.82411426,model_antiviral_683_complex.12
model_antiviral_2275,0.8219741,model_antiviral_2275_complex.6
model_antiviral_428,0.8214537000000001,model_antiviral_428_complex.8
model_antiviral_891,0.81963265,model_antiviral_891_complex.19
model_antiviral_2506,0.8179649,model_antiviral_2506_complex.16
model_antiviral_2812,0.81684554,model_antiviral_2812_complex.18
model_antiviral_439,0.81338024,model_antiviral_439_complex.8
model_antiviral_2374,0.8123368000000001,model_antiviral_2374_complex.11
model_antiviral_2234,0.8106878000000001,model_antiviral_2234_complex.18
model_antiviral_181,0.81015575,model_antiviral_181_complex.9
model_antiviral_1525,0.80925643,model_antiviral_1525_complex.2
model_antiviral_3586,0.8072210999999999,model_antiviral_3586_complex.6
model_antiviral_1451,0.80377144,model_antiviral_1451_complex.19
model_antiviral_1160,0.8036462,model_antiviral_1160_complex.14
model_antiviral_4631,0.80346155,model_antiviral_4631_complex.4
model_antiviral_3122,0.8032619000000001,model_antiviral_3122_complex.15
model_antiviral_4432,0.8029556,model_antiviral_4432_complex.4
model_antiviral_1960,0.8019812,model_antiviral_1960_complex.18
model_antiviral_3843,0.7990043000000001,model_antiviral_3843_complex.17
model_antiviral_3603,0.79817134,model_antiviral_3603_complex.2
model_antiviral_4594,0.7944865,model_antiviral_4594_complex.7
model_antiviral_532,0.7923409,model_antiviral_532_complex.13
model_antiviral_3592,0.79170567,model_antiviral_3592_complex.4
model_antiviral_2164,0.79094255,model_antiviral_2164_complex.10
model_antiviral_4304,0.79068726,model_antiviral_4304_complex.16
model_antiviral_2399,0.79060733,model_antiviral_2399_complex.13
model_antiviral_198,0.7902037,model_antiviral_198_complex.15
model_antiviral_3707,0.78711724,model_antiviral_3707_complex.6
model_antiviral_2085,0.78695834,model_antiviral_2085_complex.1
model_antiviral_3729,0.7867816999999999,model_antiviral_3729_complex.5
model_antiviral_4352,0.78622895,model_antiviral_4352_complex.6
model_antiviral_3225,0.78613245,model_antiviral_3225_complex.6
model_antiviral_4678,0.7858878,model_antiviral_4678_complex.20
model_antiviral_4511,0.78587604,model_antiviral_4511_complex.13
model_antiviral_1192,0.7857430999999999,model_antiviral_1192_complex.17
model_antiviral_4125,0.78566825,model_antiviral_4125_complex.5
model_antiviral_2671,0.7855965,model_antiviral_2671_complex.3
model_antiviral_1806,0.78451526,model_antiviral_1806_complex.6
model_antiviral_320,0.78444326,model_antiviral_320_complex.8
model_antiviral_4440,0.78424084,model_antiviral_4440_complex.17
model_antiviral_3797,0.7841519,model_antiviral_3797_complex.4
model_antiviral_2605,0.7837641,model_antiviral_2605_complex.5
model_antiviral_1558,0.78339434,model_antiviral_1558_complex.18
model_antiviral_4465,0.78140134,model_antiviral_4465_complex.9
model_antiviral_4780,0.7812732,model_antiviral_4780_complex.4
model_antiviral_2350,0.7811121999999999,model_antiviral_2350_complex.10
model_antiviral_1043,0.78071815,model_antiviral_1043_complex.20
model_antiviral_1431,0.7801616,model_antiviral_1431_complex.13
model_antiviral_3433,0.7801193000000001,model_antiviral_3433_complex.6
model_antiviral_1274,0.77974606,model_antiviral_1274_complex.15
model_antiviral_897,0.77848876,model_antiviral_897_complex.18
model_antiviral_1395,0.7778679000000001,model_antiviral_1395_complex.10
model_antiviral_3749,0.7775595999999999,model_antiviral_3749_complex.3
model_antiviral_4422,0.7766254,model_antiviral_4422_complex.3
model_antiviral_2326,0.77637637,model_antiviral_2326_complex.15
model_antiviral_2412,0.77591395,model_antiviral_2412_complex.4
model_antiviral_534,0.77554137,model_antiviral_534_complex.16
model_antiviral_1885,0.7751161,model_antiviral_1885_complex.5
model_antiviral_2543,0.7743983,model_antiviral_2543_complex.14
model_antiviral_1990,0.7742616,model_antiviral_1990_complex.2
model_antiviral_2184,0.77407515,model_antiviral_2184_complex.12
model_antiviral_1564,0.7740180999999999,model_antiviral_1564_complex.5
model_antiviral_2511,0.7734635999999999,model_antiviral_2511_complex.11
model_antiviral_2135,0.7723701,model_antiviral_2135_complex.10
model_antiviral_3993,0.7717771999999999,model_antiviral_3993_complex.11
model_antiviral_2119,0.7713618,model_antiviral_2119_complex.8
model_antiviral_949,0.77012897,model_antiviral_949_complex.18
model_antiviral_331,0.7698579000000001,model_antiviral_331_complex.14
model_antiviral_1648,0.7695006,model_antiviral_1648_complex.5
model_antiviral_970,0.7693329000000001,model_antiviral_970_complex.8
model_antiviral_475,0.76902,model_antiviral_475_complex.19
model_antiviral_943,0.76843417,model_antiviral_943_complex.13
model_antiviral_4399,0.76816744,model_antiviral_4399_complex.6
model_antiviral_2791,0.76739234,model_antiviral_2791_complex.17
model_antiviral_603,0.76678884,model_antiviral_603_complex.19
model_antiviral_3043,0.76662755,model_antiviral_3043_complex.5
model_antiviral_2170,0.7663803000000001,model_antiviral_2170_complex.5
model_antiviral_538,0.7649368000000001,model_antiviral_538_complex.18
model_antiviral_1358,0.76489997,model_antiviral_1358_complex.20
model_antiviral_3811,0.7644994,model_antiviral_3811_complex.2
model_antiviral_3476,0.7637638000000001,model_antiviral_3476_complex.13
model_antiviral_1304,0.7634933,model_antiviral_1304_complex.2
model_antiviral_755,0.7634231,model_antiviral_755_complex.5
model_antiviral_991,0.76216304,model_antiviral_991_complex.13
model_antiviral_1882,0.7610805,model_antiviral_1882_complex.13
model_antiviral_3282,0.76101065,model_antiviral_3282_complex.5
model_antiviral_3351,0.76073813,model_antiviral_3351_complex.10
model_antiviral_1544,0.76069397,model_antiviral_1544_complex.9
model_antiviral_965,0.76033103,model_antiviral_965_complex.20
model_antiviral_1875,0.76028883,model_antiviral_1875_complex.14
model_antiviral_2568,0.7597970000000001,model_antiviral_2568_complex.17
model_antiviral_3828,0.7572913,model_antiviral_3828_complex.19
model_antiviral_459,0.7571409,model_antiviral_459_complex.19
model_antiviral_3260,0.7567961,model_antiviral_3260_complex.4
model_antiviral_4107,0.75588673,model_antiviral_4107_complex.14
model_antiviral_4707,0.7548699000000001,model_antiviral_4707_complex.13
model_antiviral_4779,0.7543686,model_antiviral_4779_complex.15
model_antiviral_4666,0.754009,model_antiviral_4666_complex.4
model_antiviral_3762,0.7539686999999999,model_antiviral_3762_complex.4
model_antiviral_3332,0.7539382,model_antiviral_3332_complex.19
model_antiviral_2755,0.7537176999999999,model_antiviral_2755_complex.7
model_antiviral_782,0.7535111999999999,model_antiviral_782_complex.2
model_antiviral_3584,0.7533411999999999,model_antiviral_3584_complex.16
model_antiviral_169,0.7518728,model_antiviral_169_complex.6
model_antiviral_2767,0.75130033,model_antiviral_2767_complex.19
model_antiviral_967,0.7503704999999999,model_antiviral_967_complex.9
model_antiviral_155,0.7501699000000001,model_antiviral_155_complex.12
