name,prediction
model_antiviral_467_complex.10,0.93401754
model_antiviral_1268_complex.18,0.9302608
model_antiviral_4346_complex.12,0.9185453
model_antiviral_1120_complex.14,0.9176606
model_antiviral_3087_complex.16,0.91602147
model_antiviral_0_complex.11,0.91055584
model_antiviral_2816_complex.16,0.9088874
model_antiviral_272_complex.16,0.9075962
model_antiviral_2514_complex.17,0.90482056
model_antiviral_3903_complex.11,0.90313417
model_antiviral_147_complex.17,0.90227604
model_antiviral_3940_complex.15,0.8801346
model_antiviral_2585_complex.11,0.8748991
model_antiviral_4508_complex.16,0.8723145
model_antiviral_46_complex.4,0.8664386
model_antiviral_266_complex.12,0.86175
model_antiviral_1620_complex.6,0.8606068
model_antiviral_3483_complex.4,0.85969186
model_antiviral_1694_complex.11,0.8561895
model_antiviral_374_complex.20,0.8555621
model_antiviral_1698_complex.15,0.85541785
model_antiviral_1120_complex.5,0.8547616
model_antiviral_2816_complex.11,0.85403275
model_antiviral_3657_complex.15,0.85372806
model_antiviral_2034_complex.17,0.8516025
model_antiviral_3474_complex.20,0.85055244
model_antiviral_1238_complex.9,0.84811056
model_antiviral_1198_complex.4,0.84745324
model_antiviral_3888_complex.20,0.8462571
model_antiviral_4629_complex.15,0.8453147
model_antiviral_4629_complex.14,0.8446437
model_antiviral_3977_complex.5,0.84463763
model_antiviral_1268_complex.6,0.8439884
model_antiviral_3668_complex.9,0.8438288
model_antiviral_1097_complex.6,0.8409531
model_antiviral_1735_complex.19,0.83971393
model_antiviral_4241_complex.7,0.837052
model_antiviral_2261_complex.18,0.8352529
model_antiviral_1238_complex.20,0.8349538
model_antiviral_3517_complex.5,0.83329016
model_antiviral_2628_complex.15,0.8327193
model_antiviral_4679_complex.3,0.82895285
model_antiviral_1157_complex.3,0.826182
model_antiviral_3634_complex.9,0.82581913
model_antiviral_54_complex.13,0.8257061
model_antiviral_1798_complex.19,0.82546103
model_antiviral_683_complex.12,0.82411426
model_antiviral_2275_complex.6,0.8219741
model_antiviral_428_complex.8,0.8214537
model_antiviral_891_complex.19,0.81963265
model_antiviral_2506_complex.16,0.8179649
model_antiviral_2812_complex.18,0.81684554
model_antiviral_3977_complex.1,0.81591856
model_antiviral_439_complex.8,0.81338024
model_antiviral_2034_complex.3,0.81332767
model_antiviral_2374_complex.11,0.8123368
model_antiviral_2234_complex.18,0.8106878
model_antiviral_181_complex.9,0.81015575
model_antiviral_1525_complex.2,0.80925643
model_antiviral_3586_complex.6,0.8072211
model_antiviral_3977_complex.10,0.806617
model_antiviral_1451_complex.19,0.80377144
model_antiviral_1160_complex.14,0.8036462
model_antiviral_4631_complex.4,0.80346155
model_antiviral_3122_complex.15,0.8032619
model_antiviral_4432_complex.4,0.8029556
model_antiviral_1960_complex.18,0.8019812
model_antiviral_1698_complex.13,0.8003906
model_antiviral_3843_complex.17,0.7990043
model_antiviral_3603_complex.2,0.79817134
model_antiviral_3657_complex.5,0.7956358
model_antiviral_4594_complex.7,0.7944865
model_antiviral_3474_complex.3,0.79359293
model_antiviral_532_complex.13,0.7923409
model_antiviral_3977_complex.4,0.79178405
model_antiviral_3592_complex.4,0.79170567
model_antiviral_2164_complex.10,0.79094255
model_antiviral_4304_complex.16,0.79068726
model_antiviral_2399_complex.13,0.79060733
model_antiviral_198_complex.15,0.7902037
model_antiviral_2034_complex.7,0.78986824
model_antiviral_1268_complex.3,0.7898537
model_antiviral_3707_complex.6,0.78711724
model_antiviral_2085_complex.1,0.78695834
model_antiviral_3729_complex.5,0.7867817
model_antiviral_4352_complex.6,0.78622895
model_antiviral_3225_complex.6,0.78613245
model_antiviral_4678_complex.20,0.7858878
model_antiviral_4511_complex.13,0.78587604
model_antiviral_1192_complex.17,0.7857431
model_antiviral_4125_complex.5,0.78566825
model_antiviral_2164_complex.3,0.7856625
model_antiviral_2671_complex.3,0.7855965
model_antiviral_1806_complex.6,0.78451526
model_antiviral_320_complex.8,0.78444326
model_antiviral_4440_complex.17,0.78424084
model_antiviral_3797_complex.4,0.7841519
model_antiviral_2605_complex.5,0.7837641
model_antiviral_1558_complex.18,0.78339434
model_antiviral_4465_complex.9,0.78140134
model_antiviral_4780_complex.4,0.7812732
model_antiviral_2350_complex.10,0.7811122
model_antiviral_2628_complex.14,0.7808997
model_antiviral_1043_complex.20,0.78071815
model_antiviral_3843_complex.15,0.78061926
model_antiviral_1238_complex.4,0.7804049
model_antiviral_1431_complex.13,0.7801616
model_antiviral_3433_complex.6,0.7801193
model_antiviral_1274_complex.15,0.77974606
model_antiviral_897_complex.18,0.77848876
model_antiviral_1097_complex.5,0.77797633
model_antiviral_1395_complex.10,0.7778679
model_antiviral_3749_complex.3,0.7775596
model_antiviral_1160_complex.9,0.77695715
model_antiviral_4422_complex.3,0.7766254
model_antiviral_2326_complex.15,0.77637637
model_antiviral_1268_complex.19,0.77615535
model_antiviral_2412_complex.4,0.77591395
model_antiviral_3707_complex.7,0.77570707
model_antiviral_534_complex.16,0.77554137
model_antiviral_1885_complex.5,0.7751161
model_antiviral_2543_complex.14,0.7743983
model_antiviral_1990_complex.2,0.7742616
model_antiviral_2184_complex.12,0.77407515
model_antiviral_1564_complex.5,0.7740181
model_antiviral_2511_complex.11,0.7734636
model_antiviral_3474_complex.15,0.77342606
model_antiviral_2135_complex.10,0.7723701
model_antiviral_4125_complex.1,0.7722459
model_antiviral_3993_complex.11,0.7717772
model_antiviral_2119_complex.8,0.7713618
model_antiviral_3603_complex.4,0.7704928
model_antiviral_949_complex.18,0.77012897
model_antiviral_4346_complex.11,0.7700621
model_antiviral_331_complex.14,0.7698579
model_antiviral_1648_complex.5,0.7695006
model_antiviral_1198_complex.14,0.76936823
model_antiviral_970_complex.8,0.7693329
model_antiviral_1097_complex.17,0.76920295
model_antiviral_475_complex.19,0.76902
model_antiviral_943_complex.13,0.76843417
model_antiviral_272_complex.14,0.768362
model_antiviral_4399_complex.6,0.76816744
model_antiviral_2791_complex.17,0.76739234
model_antiviral_603_complex.19,0.76678884
model_antiviral_3043_complex.5,0.76662755
model_antiviral_2170_complex.5,0.7663803
model_antiviral_538_complex.18,0.7649368
model_antiviral_1358_complex.20,0.76489997
model_antiviral_3586_complex.5,0.76465327
model_antiviral_3811_complex.2,0.7644994
model_antiviral_3476_complex.13,0.7637638
model_antiviral_1806_complex.20,0.76375145
model_antiviral_1304_complex.2,0.7634933
model_antiviral_1268_complex.4,0.7634658
model_antiviral_755_complex.5,0.7634231
model_antiviral_1431_complex.7,0.7623441
model_antiviral_991_complex.13,0.76216304
model_antiviral_3729_complex.10,0.76189077
model_antiviral_1882_complex.13,0.7610805
model_antiviral_3282_complex.5,0.76101065
model_antiviral_3351_complex.10,0.76073813
model_antiviral_1544_complex.9,0.76069397
model_antiviral_965_complex.20,0.76033103
model_antiviral_1875_complex.14,0.76028883
model_antiviral_2568_complex.17,0.759797
model_antiviral_4629_complex.4,0.7592757
model_antiviral_1198_complex.7,0.7573652
model_antiviral_3828_complex.19,0.7572913
model_antiviral_459_complex.19,0.7571409
model_antiviral_1798_complex.1,0.75695217
